Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai
1	2	4	Namas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Murinis	80	1	8	2010
1	3	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Nemurinis	Medinis	140	8	10	2007
1	2	4	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Murinis	110	4	12	2011
2	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	190	4	21	2009
1	2	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Murinis	132	6	7	2006
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	159	12	8	2011
1	2	7	Namas	4	Nereikia	0	4	Irengtas	Nauja	Murinis	Murinis	470	13	8	2000
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	166	8	14	2011
3	4	4	Namas	2	Nereikia	0	4	Irengtas	Nenauja	Murinis	Murinis	386	17	2	1990
1	2	5	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Blokinis	234	12	7	2009
1	2	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Blokinis	162	9	16	2011
1	2	6	Kotedzas	3	Reikia	1	1	Neirengtas	Nauja	Murinis	Blokinis	319	60	8	2009
1	2	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	Murinis	Murinis	205	7	12	2011
1	2	6	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	460	9	12	1996
1	1	6	Kotedzas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Blokinis	199	3	5	2010
1	2	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	Murinis	Blokinis	183	6	8	2007
1	2	5	Namas	2	Nereikia	1	3	Irengtas	Nenauja	Murinis	Mûrinis	139	9	8	1991
1	2	5	Namas	3	Reikia	0	2	Irengtas	Nauja	Nemurinis	Medinis	180	14	10	2004
1	2	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	Murinis	Murinis	250	68	12	1995
2	2	5	Namas	3	Reikia	0	2	Dalinai irengtas	Nauja	Murinis	Blokinis	176	8	16	2011
