Kaina	Miestas	Rajonas	Raj	Raj2	Rajvid	Kamb	Tipas	Fizine	Remontas	Sodai	Ir	Irengtumas	Statyba	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	Pastatymo metai	Nuoroda	Skelbimas
270000	Vilnius	Antakalnis	2	1		4	Namas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Murinis	80	1	8	2010	http://www.skelbiu.lt/skelbimai/parduodamas-puikus-namas-parduodamas-puikus-namas-12283814.html	file:///C:/Users/Dovile/Desktop/Namai/parduodamas-puikus-namas-parduodamas-puikus-namas-12283814.html
950000	Vilnius	Visoriai	2	1		3	Namas	4	Nereikia	1	3	Árengtas	Nauja	Nemurinis	Medinis	140	8	10	2007	http://www.skelbiu.lt/skelbimai/vilnius-zidinys-elektra-vanduo-virtuve-dusas-12035132.html	file:///C:/Users/Dovile/Desktop/Namai/vilnius-zidinys-elektra-vanduo-virtuve-dusas-12035132.html
353000	Vilnius	Pavilnys	1	1		4	Kotedzas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Murinis	110	4	12	2011	http://www.skelbiu.lt/skelbimai/kotedzas-zemoji-92-5997909.html	file:///C:/Users/Dovile/Desktop/Namai/kotedzas-zemoji-92-5997909.html
449000	Vilnius	Grigiskes	3	2		5	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Blokinis	190	4	21	2009	http://www.skelbiu.lt/skelbimai/parduodamas-190-kv-m-5-k-namas-su-parduodamas-190-11587517.html	file:///C:/Users/Dovile/Desktop/Namai/parduodamas-190-kv-m-5-k-namas-su-parduodamas-190-11587517.html
498000	Vilnius	Antakalnis	2	1		3	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Murinis	132	6	7	2006	http://www.skelbiu.lt/skelbimai/bendras-namo-plotas-131-94-kv-m-bendras-namo-12069769.html	file:///C:/Users/Dovile/Desktop/Namai/bendras-namo-plotas-131-94-kv-m-bendras-namo-12069769.html
350000	Vilnius	Pilaite	2	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	159	12	8	2011	http://www.skelbiu.lt/skelbimai/5km-nuo-pilaites-parduodamas-5km-nuo-pilaites-11920649.html	file:///C:/Users/Dovile/Desktop/Namai/5km-nuo-pilaites-parduodamas-5km-nuo-pilaites-11920649.html
5499999	Vilnius	Valakampiai	4	3		6	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	400	16	7	2007	http://www.skelbiu.lt/skelbimai/namas-vaidilutes-g-valakampiai-namas-vaidilutes-g-12385900.html	file:///C:/Users/Dovile/Desktop/Namai/namas-vaidilutes-g-valakampiai-namas-vaidilutes-g-12385900.html
2333444	Vilnius	Pilaite	2	1		7	Namas	4	Nereikia	0	4	Árengtas	Nauja	Murinis	Murinis	470	13	8	2000	http://www.skelbiu.lt/skelbimai/parduodamas-vieno-auksto-parduodamas-vieno-auksto-12293714.html	file:///C:/Users/Dovile/Desktop/Namai/parduodamas-vieno-auksto-parduodamas-vieno-auksto-12293714.html
379000	Vilnius	Aukstieji Paneriai	1	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	166	8	14	2011	http://www.skelbiu.lt/skelbimai/dviaukstis-165-51-m2-namas-su-7-5-aru-sklypu-12231948.html	file:///C:/Users/Dovile/Desktop/Namai/dviaukstis-165-51-m2-namas-su-7-5-aru-sklypu-12231948.html
3999999	Vilnius	Uzupis	4	3		4	Namas	2	Nereikia	0	4	Árengtas	Nenauja	Murinis	Murinis	386	17	2	1990	http://www.skelbiu.lt/skelbimai/namas-aukstaiciu-g-uzupis-namas-aukstaiciu-g-12385826.html	file:///C:/Users/Dovile/Desktop/Namai/1.html
790000	Vilnius	Pilaite	2	1		5	Namas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Blokinis	234	12	7	2009	http://www.skelbiu.lt/skelbimai/parduodamas-naujos-statybos-5-parduodamas-naujos-12202582.html	file:///C:/Users/Dovile/Desktop/Namai/2.html
290000	Vilnius	Aukstieji Paneriai	1	1		4	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Blokinis	162	9	16	2011	http://www.skelbiu.lt/skelbimai/parduodamas-sublokuotas-namas-parduodamas-11085833.html	file:///C:/Users/Dovile/Desktop/Namai/4.html
530000	Vilnius	Pilaite	2	1		6	Kotedzas	3	Reikia	1	1	Neárengtas	Nauja	Murinis	Blokinis	319	60	8	2009	http://www.skelbiu.lt/skelbimai/parduodamas-dieju-aukstu-kotedzas-parduodamas-12193004.html	file:///C:/Users/Dovile/Desktop/Namai/5.html
549000	Vilnius	Pavilnys	1	1		5	Namas	3	Reikia	0	1	Neárengtas	Nauja	Murinis	Murinis	205	7	12	2011	http://www.skelbiu.lt/skelbimai/cia-gali-buti-jusu-svajoniu-namai-cia-gali-buti-12257926.html	file:///C:/Users/Dovile/Desktop/Namai/6.html
940000	Vilnius	Naujoji Vilnia	2	1		6	Namas	2	Nereikia	0	3	Árengtas	Nenauja	Murinis	Murinis	460	9	12	1996	http://www.skelbiu.lt/skelbimai/parduodama-namas-6-parduodama-namas-6-kambariu-12355712.html	file:///C:/Users/Dovile/Desktop/Namai/7.html
579000	Vilnius	Zemieji Paneriai	1	1		6	Kotedzas	3	Reikia	0	2	Dalinai árengtas	Nauja	Murinis	Blokinis	199	3	5	2010	http://www.skelbiu.lt/skelbimai/siam-objektui-taikomos-spec-siam-objektui-12357156.html	file:///C:/Users/Dovile/Desktop/Namai/9.html
589000	Vilnius	Antakalnis	2	1		5	Namas	4	Nereikia	1	3	Árengtas	Nauja	Murinis	Blokinis	183	6	8	2007	http://www.skelbiu.lt/skelbimai/nama-galima-apziureti-is-anksto-nama-galima-12357149.html	file:///C:/Users/Dovile/Desktop/Namai/10.html
