Kaina	Miestas	Rajonas	M2K	M2Vid	Gr4	Kamb	Tipas	Fizine	Remontas	Sodai	Ireng	Irengtumas	Statyba	Stat	Mur	Ntipas	Nplotas	Splotas	Atstumas iki centro (km)	AtsInt	Baldai	Metai	Nuoroda	Skelbimas
140000	Vilnius	Zirmunai	2692.307692	4535.822021	1	2	Namas	1	Reikia	0	2	Irengtas	Nenauja	0	Nemurinis	Medinis	52	2.5	2.94	1	1	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-2k-butas-nuosavame-name-butui-priklau/2-240281	file:///C:/Users/Dovile/Desktop/Namai/38.htm
450000	Vilnius	Zirmunai	3000	4535.822021	1	4	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Nemurinis	Medinis	150	6	4.68	1	1	1940	http://www.aruodas.lt/namas/vilniuje/parduodamas-15-kv-m-bendro-ploto-namas-zirmunuos/2-234629	file:///C:/Users/Dovile/Desktop/Namai/320.htm
250000	Vilnius	Zirmunai	8333.333333	4535.822021	1	1	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	0	Nemurinis	Medinis	30	1.5	2.16	1	1	1933	http://www.aruodas.lt/namas/vilniuje/parduodama-namo-dalis-raitininku-g-zirmunuose/2-233611	file:///C:/Users/Dovile/Desktop/Namai/135.htm
420000	Vilnius	Zirmunai	4117.647059	4535.822021	1	5	Kotedzas	3	Reikia	0	1	Dalinai irengtas	Nauja	1	Murinis	Murinis	102	2.7	2.93	1	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-5-kambariu-kotedzas-tusk/2-238895	file:///C:/Users/Dovile/Desktop/Namai/35.htm
590000	Vilnius	Dvarcionys	2360	2694.452538	4	5	Kotedzas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	250	11	10.5	3	1	1997	http://www.aruodas.lt/namas/vilniuje/parduodamas-irengtas-namas-dvarcionyse-keramiku-g/2-241112	file:///C:/Users/Dovile/Desktop/Namai/133.htm
480000	Vilnius	Dvarcionys	2341.463415	2694.452538	4	5	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	205	6	10.9	3	0	1992	http://www.aruodas.lt/namas/vilniuje/zemes-sklypas-yra-namu-valdos-paskirties-6-a-na/2-234388	file:///C:/Users/Dovile/Desktop/Namai/134.htm
725000	Vilnius	Dvarcionys	3341.013825	2694.452538	4	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	217	8.4	11.3	3	1	2007	http://www.aruodas.lt/namas/vilniuje/-parduodamas-jaukus-naujos-statybos-kokybiskomi/2-243338	file:///C:/Users/Dovile/Desktop/Namai/41.html
650000	Vilnius	Dvarcionys	1653.94402	2694.452538	4	6	Namas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Murinis	393	9	10.9	3	0	1992	http://www.aruodas.lt/namas/vilniuje/parduodamas-individualus-namas-dvarcionyse-namas/2-237243	file:///C:/Users/Dovile/Desktop/Namai/144.htm
250000	Vilnius	Dvarcionys	2777.777778	2694.452538	4	3	Namas	4	Nereikia	1	3	Irengtas	Nauja	1	Nemurinis	Medinis	90	8	11.1	3	1	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-28-metais-pastatytas-gyvenamasis-3j/2-242285	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/Dvarc1.htm
680000	Vilnius	Dvarcionys	3090.909091	2694.452538	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	220	10	7.45	2	0	2009	http://www.aruodas.lt/namas/vilniuje/puikus-namas-galgiuose-spalio-ir-mokyklos-gatviu/2-247335	file:///C:/Users/Dovile/Desktop/Namai/321.htm
619000	Vilnius	Dvarcionys	3296.059638	2694.452538	4	5	Namas	4	Nereikia	1	3	Irengtas	Nauja	1	Murinis	Blokinis	187.8	6.07	11.3	3	1	2007	http://www.aruodas.lt/namas/vilniuje/parduodamas-dvieju-aukstu-gyvenamasis-namas-su-rus/2-247615	file:///C:/Users/Dovile/Desktop/Namai/322.htm
429000	Vilnius	Aukstieji Paneriai	2560.276916	2491.179159	4	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	167.56	8	16.3	4	0	2011	http://www.aruodas.lt/namas/vilniuje/wwwkalvuslenislt-16756-m2-namas-su-pilna-dalin/2-247257	file:///C:/Users/Dovile/Desktop/Namai/121.html
299000	Vilnius	Aukstieji Paneriai	2334.113973	2491.179159	4	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	128.1	5.75	16.4	4	0	2011	http://www.aruodas.lt/namas/vilniuje/wwwkalvuslenislt-1281-m2-namas-su-pilna-daline/2-243094	file:///C:/Users/Dovile/Desktop/Namai/101.htm
379000	Vilnius	Aukstieji Paneriai	2289.891849	2491.179159	4	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	165.51	7.5	16.6	4	0	2011	http://www.skelbiu.lt/skelbimai/dviaukstis-165-51-m2-namas-su-7-5-aru-sklypu-12231948.html	file:///C:/Users/Dovile/Desktop/Namai/323.html
290000	Vilnius	Aukstieji Paneriai	1795.999257	2491.179159	4	4	Namas	3	Reikia	0	1	Neárengtas	Nauja	1	Murinis	Blokinis	161.47	9	16.3	4	0	2011	http://www.skelbiu.lt/skelbimai/parduodamas-sublokuotas-namas-parduodamas-11085833.html	file:///C:/Users/Dovile/Desktop/Namai/324.html
449000	Vilnius	Aukstieji Paneriai	2494.444444	2491.179159	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	180	10	16.4	4	0	2010	http://www.aruodas.lt/namas/vilniuje/kalvu-slenyje-mazaauksciu-individualiu-gyvenamuju/2-214071	file:///C:/Users/Dovile/Desktop/Namai/4.html
344000	Vilnius	Aukstieji Paneriai	2965.517241	2491.179159	4	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	116	4	14.1	3	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodame-116-kv-m-bendro-ploto-kotedza-d-tarab/2-220375	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP1.htm
350000	Vilnius	Aukstieji Paneriai	1458.333333	2491.179159	4	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	240	15	16.3	4	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodame-24-kv-m-bendro-ploto-buta-nama-dvib/2-225030	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP2.htm
399000	Vilnius	Aukstieji Paneriai	2692.671076	2491.179159	4	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	148.18	9.07	14.1	3	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodame-14818-kv-m-bendro-ploto-buta-nama-d/2-233018	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP4.htm
449000	Vilnius	Aukstieji Paneriai	2679.637145	2491.179159	4	5	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	167.56	8	16.3	4	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodame-16756-kv-m-bendro-ploto-buta-nama-d/2-239836	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP6.htm
410000	Vilnius	Aukstieji Paneriai	2277.777778	2491.179159	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	180	10	16.4	4	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodamas-privataus-asmens-kokybiskai-pastatytas/2-243988	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP7.htm
395000	Vilnius	Aukstieji Paneriai	2687.07483	2491.179159	4	4	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	147	8.5	14.1	3	0	2011	http://www.aruodas.lt/namas/vilniuje/mazaauksciu-individualiu-gyvenamuju-namu-kvartalas/2-244059	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP8.htm
349000	Vilnius	Aukstieji Paneriai	2725.497852	2491.179159	4	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	128.05	6.2	16.3	4	0	2011	http://www.aruodas.lt/namas/vilniuje/parduodame-1285-kv-m-bendro-ploto-buta-nama-d/2-244386	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP9.htm
130000	Vilnius	Aukstieji Paneriai	1334.702259	2491.179159	4	4	Namas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Blokinis	97.4	7	14.4	3	0	1979	http://www.aruodas.lt/namas/vilniuje/namas-liudvinavo-g-su-7-aru-namu-valdos-sklypu/2-244840	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP10.htm
300000	Vilnius	Aukstieji Paneriai	1050.162775	2491.179159	4	6	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	285.67	10.1	15.8	4	0	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-erdvus-6-knamas-maciuliskese-traku-r/2-245847	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP11.htm
409000	Vilnius	Aukstieji Paneriai	2272.222222	2491.179159	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	180	11	14.4	3	0	2010	http://www.aruodas.lt/namas/vilniuje/isskirtines-kokybes-naujas-namas-su-11-a-sklyp/2-245897	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP12.htm
549000	Vilnius	Aukstieji Paneriai	2196	2491.179159	4	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Murinis	250	19	15.6	4	0	2009	http://www.aruodas.lt/namas/vilniuje/vieta-tyli-rami-vieta-naujai-sutvarkyta-in/2-246128	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP13.htm
899000	Vilnius	Aukstieji Paneriai	4162.037037	2491.179159	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	216	19.3	15.2	4	1	2006	http://www.aruodas.lt/namas/vilniuje/parduodamas-26-m-murinis-namas-aukstuosiuose-pa/2-246162	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP14.htm
720000	Vilnius	Aukstieji Paneriai	4864.864865	2491.179159	4	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	148	6	15.6	4	0	2009	http://www.aruodas.lt/namas/vilniuje/parduodamas-naujas-is-ekologisku-medziagu-pastaty/2-247774	D:/Paskaitos/III kursas/Kursinis/Duomenys/Linkai/2011.10.21/AukstP15.htm
595000	Vilnius	Bajorai	2975	3308.456215	3	5	Namas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	200	7	12.2	3	0	2011	http://www.aruodas.lt/namas/vilniuje/paduodamas-sublokuotas-namas-bajoruose-naujai-vys/2-245797	file:///C:/Users/Dovile/Desktop/Namai/126.htm
850000	Vilnius	Bajorai	3917.050691	3308.456215	3	5	Kotedzas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	217	6	11.8	3	0	2008	http://www.aruodas.lt/namas/vilniuje/parduodamas-217-m-sublokuotas-namas-bajorose-vai/2-242659	file:///C:/Users/Dovile/Desktop/Namai/103.htm
300000	Vilnius	Bajorai	1875	3308.456215	3	5	Namas	1	Reikia	0	2	Irengtas	Nenauja	0	Murinis	Murinis	160	8	10	3	1	1980	http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-bajoruose-16-kvm-sklypo-plo/2-235152	file:///C:/Users/Dovile/Desktop/Namai/78.htm
600000	Vilnius	Bajorai	3157.894737	3308.456215	3	4	Kotedzas	3	Reikia	0	1	Neirengtas	Nauja	1	Murinis	Blokinis	190	6	11.7	3	0	2008	http://www.skelbiu.lt/skelbimai/parduodamas-2008-m-statybos-parduodamas-2008-m-11639973.html	file:///C:/Users/Dovile/Desktop/Namai/27.html
837000	Vilnius	Bajorai	3487.5	3308.456215	3	5	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Blokinis	240	6	11.3	3	0	2009	http://www.skelbiu.lt/skelbimai/apie-nama-parduodamas-puikus-5-apie-nama-12349724.html	file:///C:/Users/Dovile/Desktop/Namai/21.html
620000	Vilnius	Bajorai	3351.351351	3308.456215	3	4	Namas	4	Nereikia	0	3	Irengtas	Nauja	1	Murinis	Murinis	185	6	11.3	3	0	2007	http://www.skelbiu.lt/skelbimai/parduodamas-puikus-namas-vilniaus-parduodamas-12242819.html	file:///C:/Users/Dovile/Desktop/Namai/325.html
790000	Vilnius	Bajorai	1645.833333	3308.456215	3	7	Namas	2	Nereikia	0	3	Irengtas	Nenauja	0	Murinis	Murinis	480	7	11.9	3	1	1996	http://www.aruodas.lt/namas/vilniuje/parduodamas-namas-fabijoniskiu-sen-bajorai-blok/2-190878	file:///C:/Users/Dovile/Desktop/Namai/18.html
