Kaina;Miestas;Rajonas;Kamb. Sk;Tipas;Remontas;Árengtumas;Nauja statyba ar ne;Mûrinis ar ne;Namo tipas;Namo plotas;Sklypo plotas;Atstumas iki centro (km);Pastatymo metai;Nuoroda;Skelbimas
270000;Vilnius;Antakalnis;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;80;1;15;2010;http://www.skelbiu.lt/skelbimai/parduodamas-puikus-namas-parduodamas-puikus-namas-12283814.html;file:///C:/Users/Dovile/Desktop/Namai/parduodamas-puikus-namas-parduodamas-puikus-namas-12283814.html
950000;Vilnius;Visoriai;3;Namas;Nereikia;Árengtas;Nauja;Nemûrinis;Ràstinis;140;8;10;2007;http://www.skelbiu.lt/skelbimai/vilnius-zidinys-elektra-vanduo-virtuve-dusas-12035132.html;file:///C:/Users/Dovile/Desktop/Namai/vilnius-zidinys-elektra-vanduo-virtuve-dusas-12035132.html
353000;Vilnius;Pavilnys;4;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Mûrinis;110;4;12;2011;http://www.skelbiu.lt/skelbimai/kotedzas-zemoji-92-5997909.html;file:///C:/Users/Dovile/Desktop/Namai/kotedzas-zemoji-92-5997909.html
449000;Vilnius;Grigiðkës;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;190;4;21;2009;http://www.skelbiu.lt/skelbimai/parduodamas-190-kv-m-5-k-namas-su-parduodamas-190-11587517.html;file:///C:/Users/Dovile/Desktop/Namai/parduodamas-190-kv-m-5-k-namas-su-parduodamas-190-11587517.html
498000;Vilnius;Antakalnis;3;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;132;6;12;2006;http://www.skelbiu.lt/skelbimai/bendras-namo-plotas-131-94-kv-m-bendras-namo-12069769.html;file:///C:/Users/Dovile/Desktop/Namai/bendras-namo-plotas-131-94-kv-m-bendras-namo-12069769.html
350000;Vilnius;Pilaitë;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;159;12;12;2011;http://www.skelbiu.lt/skelbimai/5km-nuo-pilaites-parduodamas-5km-nuo-pilaites-11920649.html;file:///C:/Users/Dovile/Desktop/Namai/5km-nuo-pilaites-parduodamas-5km-nuo-pilaites-11920649.html
5499999;Vilnius;Valakampiai;6;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;400;16;7;2007;http://www.skelbiu.lt/skelbimai/namas-vaidilutes-g-valakampiai-namas-vaidilutes-g-12385900.html;file:///C:/Users/Dovile/Desktop/Namai/namas-vaidilutes-g-valakampiai-namas-vaidilutes-g-12385900.html
2333444;Vilnius;Pilaitë;7;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;470;13;8;2000;http://www.skelbiu.lt/skelbimai/parduodamas-vieno-auksto-parduodamas-vieno-auksto-12293714.html;file:///C:/Users/Dovile/Desktop/Namai/parduodamas-vieno-auksto-parduodamas-vieno-auksto-12293714.html
1110000;Vilniaus raj.;Didþiøjø Gulbinø k.;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;182;11;14;2006;http://www.skelbiu.lt/skelbimai/didieji-gulbinai-181-kv-m-1-1-1-didieji-gulbinai-11245309.html;file:///C:/Users/Dovile/Desktop/Namai/didieji-gulbinai-181-kv-m-1-1-1-didieji-gulbinai-11245309.html
682000;Vilniaus raj.;Verkðioniø k.;4;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Blokinis;133;11;35;2007;http://www.skelbiu.lt/skelbimai/parduodamas-puikiai-irengtas-parduodamas-puikiai-12389098.html;file:///C:/Users/Dovile/Desktop/Namai/parduodamas-puikiai-irengtas-parduodamas-puikiai-12389098.html
799000;Vilnius;Didþioji Rieðë;5;Namas;Nereikia;Árengtas;Nauja;Mûrinis;Mûrinis;273;9;12;2006;http://www.skelbiu.lt/skelbimai/telefono-linija-internetas-telefono-linija-12385895.html;file:///C:/Users/Dovile/Desktop/Namai/telefono-linija-internetas-telefono-linija-12385895.html
379000;Vilnius;Aukðtieji paneriai;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;166;8;14;2011;http://www.skelbiu.lt/skelbimai/dviaukstis-165-51-m2-namas-su-7-5-aru-sklypu-12231948.html;file:///C:/Users/Dovile/Desktop/Namai/dviaukstis-165-51-m2-namas-su-7-5-aru-sklypu-12231948.html
3999999;Vilnius;Uþupis;4;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;386;17;4;1990;http://www.skelbiu.lt/skelbimai/namas-aukstaiciu-g-uzupis-namas-aukstaiciu-g-12385826.html;file:///C:/Users/Dovile/Desktop/Namai/1.html
790000;Vilnius;Pilaitë;5;Namas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;234;12;7;2009;http://www.skelbiu.lt/skelbimai/parduodamas-naujos-statybos-5-parduodamas-naujos-12202582.html;file:///C:/Users/Dovile/Desktop/Namai/2.html
499000;Vilnius;Karvio k.;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;254;15;30;2010;http://www.skelbiu.lt/skelbimai/parduodamas-2010-m-statybos-2-parduodamas-2010-m-12377186.html;file:///C:/Users/Dovile/Desktop/Namai/3.html
290000;Vilnius;Aukðtieji Paneriai;4;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;162;9;16;2011;http://www.skelbiu.lt/skelbimai/parduodamas-sublokuotas-namas-parduodamas-11085833.html;file:///C:/Users/Dovile/Desktop/Namai/4.html
530000;Vilnius;Pilaitë;6;Kotedþas;Reikia;Neárengtas;Nauja;Mûrinis;Blokinis;319;60;8;2009;http://www.skelbiu.lt/skelbimai/parduodamas-dieju-aukstu-kotedzas-parduodamas-12193004.html;file:///C:/Users/Dovile/Desktop/Namai/5.html
549000;Vilnius;Pavilnys;5;Namas;Reikia;Neárengtas;Nauja;Mûrinis;Mûrinis;205;7;12;2011;http://www.skelbiu.lt/skelbimai/cia-gali-buti-jusu-svajoniu-namai-cia-gali-buti-12257926.html;file:///C:/Users/Dovile/Desktop/Namai/6.html
940000;Vilnius;Naujoji Vilnia;6;Namas;Nereikia;Árengtas;Nenauja;Mûrinis;Mûrinis;460;9;12;1996;http://www.skelbiu.lt/skelbimai/parduodama-namas-6-parduodama-namas-6-kambariu-12355712.html;file:///C:/Users/Dovile/Desktop/Namai/7.html
450000;Vilniaus raj.;Verkðèioniø k;5;Kotedþas;Reikia;Dalinai árengtas;Nauja;Mûrinis;Blokinis;138;15;35;2008;http://www.skelbiu.lt/skelbimai/parduodamas-138-kv-m-per-garaza-parduodamas-138-12357176.html;file:///C:/Users/Dovile/Desktop/Namai/8.html
